population,individual,sex,species,photo.id,std.length.raw,depth.spine.1,depth.spine.2,spine.length.1,spine.length.2,spine.length.3,spine.length.pelvic,correction,std.length,depth.1,depth.2,spine.1,spine.2,spine.3,spine.pelvic,notes
AL2014,41,,B,5259,2106.009,498.145,487.811,192.842,230.512,67.882,283.019,426.011,4.94,1.17,1.15,0.4526690625,0.541,0.1593433033,0.6643466953,
AL2014,42,,B,5260,2109.617,498.443,495.445,211.026,241.868,72.25,318.509,426,4.95,1.17,1.16,0.4953661972,0.568,0.169600939,0.7476737089,
AL2014,43,,B,5261,2236.499,522.034,564.032,254.275,280.143,0,378.048,423.011,5.29,1.23,1.33,0.6011072998,0.662,0,0.8937072558,
AL2014,44,,B,5262,2073.02,483.009,480,283.019,273.905,0,414,423.043,4.9,1.14,1.13,0.6690076422,0.647,0,0.9786239224,
AL2014,45,,B,5263,1774.687,420.386,423.861,210.343,259.6,63.781,288.062,423.011,4.2,0.99,1,0.4972518445,0.614,0.150778585,0.6809799272,
AL2014,1,,B,5362,2541.126,606.007,600.067,296.378,299.58,85.907,390,423,6.01,1.43,1.42,0.7006572104,0.708,0.2030898345,0.9219858156,
AL2014,2,,B,5363,2450.758,585.492,615.468,255.265,275.804,83.355,397.135,423.011,5.79,1.38,1.45,0.6034476645,0.652,0.1970516133,0.9388290139,
AL2014,3,,B,5364,2055.219,504.036,537,267.32,259.6,96.747,390.185,420,4.89,1.2,1.28,0.6364761905,0.618,0.23035,0.9290119048,
AL2014,4,,B,5365,2071.052,492.146,477.085,180.499,224.9,51.614,318.226,423,4.9,1.16,1.13,0.4267115839,0.532,0.1220189125,0.7523073286,
AL2014,5,,B,5367,2334.002,606.067,624,294.551,306.529,80.498,414.174,423,5.52,1.43,1.48,0.6963380615,0.725,0.1903026005,0.9791347518,
AL2014,6,,B,5368,2308.997,561.072,552.13,242.981,223.294,0,380.089,426.011,5.42,1.32,1.3,0.5703632066,0.524,0,0.8922046614,
AL2014,7,,B,5369,2306.596,540.3,552.204,271.131,264.068,78.23,408.397,423,5.45,1.28,1.31,0.6409716312,0.624,0.1849408983,0.9654775414,
AL2014,8,,B,5370,2135.583,489.147,474.085,259.114,261.396,102.528,415.086,426.011,5.01,1.15,1.11,0.6082331207,0.614,0.2406698419,0.9743551223,
AL2014,9,,B,5371,2089.456,495.908,487.119,247.095,261.396,93.145,415.562,423.011,4.94,1.17,1.15,0.5841337459,0.618,0.2201952195,0.9823905289,
AL2014,10,,B,5372,2379.093,555.203,588.191,258.836,225.858,60,366.786,423.043,5.62,1.31,1.39,0.6118432405,0.534,0.141829554,0.8670182464,
AL2014,11,,B,5373,2500.73,555.032,594.03,174.929,198.091,70.228,310.728,423.011,5.91,1.31,1.4,0.4135329814,0.468,0.1660193234,0.7345624582,
AL2014,12,,B,5374,2101.562,480,465,284.478,269.666,51.614,414.391,423.096,4.97,1.13,1.1,0.6723722276,0.637,0.1219912266,0.9794254732,
AL2014,13,,B,5376,2415.268,555.292,573.385,249.56,251.213,80.722,337.337,420.011,5.75,1.32,1.37,0.5941749145,0.598,0.1921902045,0.8031622981,
AL2014,14,,B,5377,2358.618,588.031,597.188,237.739,268.663,83.355,319.412,423.011,5.58,1.39,1.41,0.5620161178,0.635,0.1970516133,0.7550914752,
